Timestamp,Email address,John (Role: INDIFFERENT),Marc (Role: ATTACKER),Nick (Role: ATTACKER),Jimmy (Role: ATTACKER),Simon (Role: DEFENDER),Kirk (Role: ATTACKER),Jim (Role: DEFENDER),Lou (Role: DEFENDER),Pamela (Role: INDIFFERENT),Mary (Role: DEFENDER),Anthony (Role: INDIFFERENT),Jack (Role: DEFENDER),Louise (Role: DEFENDER),Jamie (Role: DEFENDER),Michael (Role: ATTACKER),Joseph (Role: ATTACKER)
19/01/2017 09:24,email1@example.com,CHAMPION,CHAMPION,LOW,LOW,GOOD,CHAMPION,GOOD,LOW,LOW,GOOD,CHAMPION,GOOD,GOOD,MEDIUM,MEDIUM,LOW
19/01/2017 09:25,email2@example.com,I DON'T KNOW,GOOD,LOW,LOW,GOOD,CHAMPION,CHAMPION,MEDIUM,LOW,GOOD,GOOD,GOOD,MEDIUM,LOW,MEDIUM,LOW
19/01/2017 09:26,email3@example.com,CHAMPION,GOOD,LOW,LOW,I DON'T KNOW,CHAMPION,MEDIUM,LOW,LOW,MEDIUM,CHAMPION,GOOD,MEDIUM,LOW,MEDIUM,LOW
19/01/2017 09:28,email4@example.com,CHAMPION,GOOD,LOW,LOW,GOOD,CHAMPION,GOOD,LOW,LOW,GOOD,CHAMPION,GOOD,I DON'T KNOW,LOW,MEDIUM,LOW
19/01/2017 09:41,email5@example.com,CHAMPION,I DON'T KNOW,LOW,LOW,GOOD,GOOD,MEDIUM,LOW,LOW,CHAMPION,CHAMPION,GOOD,MEDIUM,MEDIUM,MEDIUM,LOW
19/01/2017 10:00,email6@example.com,CHAMPION,CHAMPION,I DON'T KNOW,I DON'T KNOW,CHAMPION,CHAMPION,CHAMPION,GOOD,LOW,GOOD,CHAMPION,CHAMPION,GOOD,LOW,GOOD,I DON'T KNOW
19/01/2017 10:15,email7@example.com,GOOD,GOOD,I DON'T KNOW,I DON'T KNOW,GOOD,CHAMPION,CHAMPION,GOOD,LOW,GOOD,CHAMPION,GOOD,GOOD,MEDIUM,MEDIUM,LOW
19/01/2017 11:12,email8@example.com,CHAMPION,CHAMPION,MEDIUM,LOW,GOOD,CHAMPION,GOOD,I DON'T KNOW,LOW,GOOD,CHAMPION,MEDIUM,GOOD,LOW,MEDIUM,I DON'T KNOW
19/01/2017 12:11,email9@example.com,CHAMPION,CHAMPION,LOW,LOW,MEDIUM,CHAMPION,MEDIUM,LOW,I DON'T KNOW,GOOD,CHAMPION,I DON'T KNOW,MEDIUM,LOW,MEDIUM,I DON'T KNOW
19/01/2017 12:43,email10@example.com,CHAMPION,GOOD,LOW,MEDIUM,MEDIUM,CHAMPION,GOOD,MEDIUM,LOW,I DON'T KNOW,CHAMPION,GOOD,GOOD,MEDIUM,MEDIUM,LOW
19/01/2017 14:35,email11@example.com,GOOD,GOOD,LOW,LOW,GOOD,CHAMPION,I DON'T KNOW,MEDIUM,LOW,MEDIUM,CHAMPION,GOOD,GOOD,LOW,MEDIUM,LOW
19/01/2017 16:53,email12@example.com,CHAMPION,CHAMPION,LOW,LOW,CHAMPION,I DON'T KNOW,GOOD,MEDIUM,LOW,GOOD,CHAMPION,GOOD,MEDIUM,LOW,MEDIUM,LOW
20/01/2017 11:05,email13@example.com,CHAMPION,CHAMPION,LOW,LOW,CHAMPION,CHAMPION,GOOD,LOW,LOW,GOOD,CHAMPION,MEDIUM,MEDIUM,LOW,I DON'T KNOW,LOW
